movie,year,genre,color,language,country,rating,duration,budget
Halloween,1978,Horror,Color,English,USA,R,101,300000
Halloween,1978,Horror,Color,English,USA,R,101,300000
American Graffiti,1973,Comedy,Color,English,USA,PG,112,777000
Good Will Hunting,1997,Drama,Color,English,USA,R,126,10000000
"Monsters, Inc.",2001,Adventure,Color,English,USA,G,92,115000000
Hedwig and the Angry Inch,2001,Comedy,Color,English,USA,R,95,6000000
Winged Migration,2001,Documentary,Color,English,France,G,81,160000000
Young Frankenstein,1974,Comedy,Black and White,English,USA,PG,106,2800000
The Remains of the Day,1993,Drama,Color,English,UK,PG,134,11500000
Boyz n the Hood,1991,Crime,Color,English,USA,R,112,6000000
The Triplets of Belleville,2003,Animation,Color,French,France,PG-13,80,9500000
The Sweet Hereafter,1997,Drama,Color,English,Canada,R,112,5000000
Pinocchio,1940,Animation,Color,English,USA,Approved,88,2600000
Django Unchained,2012,Drama,Color,English,USA,R,165,100000000
Howl's Moving Castle,2004,Adventure,Color,Japanese,Japan,PG,119,24000000
The Grand Budapest Hotel,2014,Adventure,Color,English,USA,R,99,25000000
The Incredibles,2004,Action,Color,English,USA,PG,115,92000000
Dallas Buyers Club,2013,Biography,Color,English,USA,R,117,5000000
Rushmore,1998,Comedy,Color,English,USA,R,93,9000000
Snow White and the Seven Dwarfs,1937,Animation,Color,English,USA,Approved,83,2000000
Incendies,2010,Drama,Color,French,Canada,R,139,6800000
No Country for Old Men,2007,Crime,Color,English,USA,R,122,25000000
The Terminator,1984,Action,Color,English,UK,R,107,6500000
Casino Royale,2006,Action,Black and White,English,UK,PG-13,144,150000000
Casino Royale,2006,Action,Black and White,English,UK,PG-13,144,150000000
Shrek,2001,Adventure,Color,English,USA,PG,90,60000000
Amour,2012,Drama,Color,French,France,PG-13,127,8900000
The Manchurian Candidate,2004,Drama,Color,English,USA,R,129,80000000
Inception,2010,Action,Color,English,USA,PG-13,148,160000000
The Departed,2006,Crime,Color,English,USA,R,151,90000000
